country,country_name,sector,prism_score,structural_score,fundamentals_score,behavior_score,topdown_score,num_firms,top_firms,porter_score,lifecycle_score,barriers,substitutes,rivalry,market_behavior_score,ret_12m,ret_6m,ann_vol,max_drawdown,beta,growth_score,gdp_pc_score,swot_score
US,United States,Communication Services,65.34,52.0,65.83,77.47,78.32,5,"['META', 'GOOG', 'GOOGL', 'NFLX', 'DIS']",47.5,62.5,2.5,4.0,3.0,77.47,0.8506,0.8261,0.3032,0.2981,1.037,45.0,81.51,50.0
US,United States,Consumer Discretionary,52.85,50.25,42.95,49.3,78.32,5,"['AMZN', 'TSLA', 'HD', 'MCD', 'NKE']",45.0,62.5,2.5,3.0,3.0,49.3,0.0521,0.0578,0.3141,0.3088,1.33,45.0,81.51,50.0
US,United States,Consumer Staples,56.45,50.25,48.45,63.3,78.32,5,"['COST', 'WMT', 'PG', 'KO', 'PEP']",45.0,62.5,2.5,3.0,3.0,63.3,0.2306,0.184,0.2161,0.2193,0.577,45.0,81.51,50.0
US,United States,Energy,55.21,48.5,50.0,50.0,78.32,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Financials,55.7,48.5,48.27,61.77,78.32,5,"['JPM', 'BAC', 'WFC', 'GS', 'MS']",42.5,62.5,2.5,3.0,3.0,61.77,0.3217,0.1925,0.2376,0.2442,0.953,45.0,81.51,50.0
US,United States,Health Care,60.81,48.5,62.07,57.73,78.32,5,"['LLY', 'UNH', 'JNJ', 'ABBV', 'MRK']",42.5,62.5,2.5,3.0,3.0,57.73,0.2266,0.3106,0.3573,0.3448,0.636,45.0,81.51,50.0
US,United States,Industrials,55.21,48.5,50.0,50.0,78.32,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Information Technology,59.0,52.0,57.45,47.54,78.32,5,"['MSFT', 'AAPL', 'NVDA', 'AVGO', 'PLTR']",47.5,62.5,2.5,4.0,3.0,47.54,0.2572,0.2791,0.5099,0.3688,1.833,45.0,81.51,50.0
US,United States,Materials,55.21,48.5,50.0,50.0,78.32,0,[],42.5,62.5,2.5,3.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Real Estate,54.16,45.0,50.0,50.0,78.32,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,45.0,81.51,50.0
US,United States,Utilities,54.16,45.0,50.0,50.0,78.32,0,[],37.5,62.5,2.5,2.0,3.0,50.0,,,,,,45.0,81.51,50.0
